id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,Beyond Retrieval: A Study of Using LLM Ensembles for Candidate Filtering in Requirements Traceability,D. Fuchß; S. Schwedt; J. Keim; T. Hey,2025,2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,"Đáp ứng IC1 đến IC5 — LLM ensemble (SLM) dùng để lọc candidate cho TLR, có đánh giá thực nghiệm trên 5 dự án"
2,Requirements Classification for Traceability Link Recovery,T. Hey; J. Keim; S. Corallo,2024,2024 IEEE 32nd International Requirements Engineering Conference (RE),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,"Đáp ứng IC1 đến IC5 — LLM-based requirement classification (NoRBERT) hỗ trợ traceability link recovery, có F1-score cụ thể (84%)"
3,Enhancing Requirement-to-Code Traceability via Chain-of-Thought Prompting in Large Language Models,W. Wang; Y. Wang; L. Zhao; Q. Huang; B. Jiang,2025,2025 32nd Asia-Pacific Software Engineering Conference (APSEC),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,"Đáp ứng IC1 đến IC5 — Đánh giá trực tiếp trên bộ dữ liệu CoEST-related (iTrust, eTour, eANCI, SMOS), so sánh với IR baseline (LSI); liên quan chặt đến RQ1/RQ2"
4,LiSSA: Toward Generic Traceability Link Recovery Through Retrieval-Augmented Generation,D. Fuchß; T. Hey; J. Keim; H. Liu; N. Ewald; T. Thirolf; A. Koziolek,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,"Đáp ứng IC1 đến IC5 — RAG-based TLR (LiSSA) cho nhiều loại artifact, có so sánh với state-of-the-art"
5,Prompts Matter: Insights and Strategies for Prompt Engineering in Automated Software Traceability,A. D. Rodriguez; K. R. Dearstyne; J. Cleland-Huang,2023,2023 IEEE 31st International Requirements Engineering Conference Workshops (REW),String A & String C & String D,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,"Đáp ứng IC1 đến IC5 — Nghiên cứu chuyên sâu về prompt engineering cho automated traceability, đề cập trực tiếp zero-shot method; liên quan RQ3 (hallucination/few-shot)"
6,Enabling Architecture Traceability by LLM-based Architecture Component Name Extraction,D. Fuchß; H. Liu; T. Hey; J. Keim; A. Koziolek,2025,2025 IEEE 22nd International Conference on Software Architecture (ICSA),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,"Đáp ứng IC1 đến IC5 — Dùng GPT-4o cho TLR (architecture-level), có F1 định lượng (0.86 vs 0.87 baseline); bằng chứng trực tiếp cho khả năng GPT-4 trong TLR"
7,Establishing Traceability Between Release Notes & Software Artifacts: Practitioners' Perspectives,S. S. Nath; B. Roy; M. Jahan,2025,2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON),String A,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,"Đáp ứng IC1 đến IC5 — LLM-based traceability (release notes ↔ PR/commit/issue), có Precision@1 định lượng (0.73); bằng chứng bổ trợ ngoài phạm vi requirement-to-code"
8,Single-pass Hierarchical Text Classification with Large Language Models,F. Schmidt; K. Hammerfald; H. H. Jahren; A. H. Payberah; V. Vlassov,2024,2024 IEEE International Conference on Big Data (BigData),String B,EXCLUDE,"EC4: Không liên quan traceability link recovery — chỉ về hierarchical text classification tổng quát, không đề cập liên kết requirement/code",,
9,A Method for Constructing Traditional Chinese Medicine Knowledge Graphs via LoRa Fine-Tuning and Prompt Engineering,K. Qin; Z. Dong; J. Xiong; J. Liang,2025,2025 2nd International Symposium on AI and Cybersecurity (ISAICS),String C,EXCLUDE,"EC4: Ngoài phạm vi SE traceability — về xây dựng knowledge graph Y học cổ truyền Trung Quốc (TCM), không liên quan traceability link recovery",,
10,On the Effectiveness of Zero-Shot and Few-Shot Pretrained Language Models for Software Requirement Classification,M. Shafikuzzaman; M. R. Islam; S. Zaman; A. Ma; A. Islam Sifat,2025,IEEE Access,String C,EXCLUDE,"EC4: Chỉ về phân loại yêu cầu (functional/non-functional), không thực hiện traceability link recovery",,
11,Vision-Language RAG for Post-AOI PCB Inspection,M. S. Byun; M. Yoke Hean Low; D. W. Lin; C. Chung Hong; Y. C. Tan; D. Pang Ngin Ong,2025,"2025 IEEE International Conference on Service Operations and Logistics, and Informatics (SOLI)",String C,EXCLUDE,"EC4: Ngoài phạm vi SE traceability — về kiểm tra lỗi PCB (phần cứng), không liên quan traceability link",,
12,A Systematic LLM-Assisted Approach for Deriving Skills From Competencies: A Case in Business Process Management Education,G. R. Rockembach; M. E. S. Sánchez; L. H. Thom,2026,IEEE Access,String C,EXCLUDE,"EC4: Ngoài phạm vi — về suy diễn kỹ năng (skills) từ competency trong giáo dục BPM, không liên quan traceability",,
