id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,Information retrieval versus deep learning approaches for generating traceability links in bilingual projects,Jinfeng Lin and Yalin Liu and Jane Cleland-Huang,2021,Empirical Software Engineering,"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")",INCLUDE,"IC-L, IC-T",EXCLUDE,EC-A
2,Text clustering and active learning using a lsi subspace signature model and query expansion,Robert B. Allen and Weizhong Zhu,2009,,"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")",EXCLUDE,IC-T,EXCLUDE,EC-A
3,Scoring Methods in Information Retrieval: A Linear Algebra Perspective,Avinash Atreya,2011,,"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")",EXCLUDE,IC-T,EXCLUDE,EC-A
4,On the Equivalence of Information Retrieval Methods for Automated Traceability Link Recovery: A Ten-Year Retrospective,Rocco Oliveto and Malcom Gethers and Denys Poshyvanyk and Andrea De Lucia,2020,2020 IEEE/ACM 28th International Conference on Program Comprehension (ICPC),"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")",INCLUDE,"IC-L, IC-T",EXCLUDE,EC-S
5,Traceability Support for Multi-Lingual Software Projects,Yalin Liu and Jinfeng Lin and Jane Cleland-Huang,2020,2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR),"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")",INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
6,Text Mining Through Label Induction Grouping Algorithm Based Method,Gulshan Saleem and Nisar Ahmed and Usman Qamar,2021,ArXiv,"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")",EXCLUDE,IC-E,EXCLUDE,EC-A
7,On the Equivalence of Information Retrieval Methods for Automated Traceability Link Recovery,Rocco Oliveto and Malcom Gethers and Denys Poshyvanyk and Andrea De Lucia,2010,2010 IEEE 18th International Conference on Program Comprehension,"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")",INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
8,Eye movements in software traceability link recovery,Bonita Sharif and John Meinken and Timothy Shasher and Huzefa H. Kagdi,2017,Empirical Software Engineering,"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")",INCLUDE,"IC-L, IC-T",EXCLUDE,EC-A
9,Comparison of Information Retrieval Techniques for Traceability Link Recovery,Danissa V. Rodriguez and Doris L. Carver,2019,2019 IEEE 2nd International Conference on Information and Computer Technologies (ICICT),"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")",INCLUDE,"IC-L, IC-T",EXCLUDE,EC-A
10,A Multi-Stage Hybrid Retrieval Framework for the Scientific Literature with Cross-Encoder Re-Ranking,Walaa Aljoofi and Alaa El. Sagheer and Hala Hamdoun,2026,Applied Sciences,"(""GPT-4"" OR ""zero-shot"") AND (""traceability"" OR ""traceability link"") AND (""CoEST"" OR ""benchmark"") AND (""MAP"" OR ""MAP@10"" OR ""Recall"" OR ""VSM"" OR ""LSI"" OR ""BM25"")",EXCLUDE,IC-E,EXCLUDE,EC-A
11,Texting-While-Walking Detection in Real-World Environments Using Vision-Language Models with Prompt Engineering,Seungpyo Choi and Jiaxu Wu and Qi An and Atsushi Yamashita,2026,2026 IEEE/SICE International Symposium on System Integration (SII),"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
12,A Multi-Modal Prompt-Tuning Framework for Non-Overlapping Multi-Domain Recommendation,Li Wang and Shoujin Wang and Qiang Wu and Min Xu,2026,IEEE Transactions on Multimedia,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
13,MuSc: Zero-Shot Industrial Anomaly Classification and Segmentation with Mutual Scoring of the Unlabeled Images,Xurui Li and Ziming Huang and Feng Xue and Yu Zhou,2024,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
